video_name,window_index,window_start_sec,window_end_sec,mean_motion_ratio,std_motion_ratio,mean_speed,max_speed,total_distance,stationary_ratio,active_ratio,mean_bbox_area_ratio,bbox_area_std,x_range,y_range,path_efficiency,direction_change_rate,high_turn_ratio,motion_peaks,missing_track_ratio,contour_count_mean,recorded_at,hour_of_day,is_daytime
1760193946278 (1).mp4,0,0.0,11.533823529411764,0.043623046874999995,0.20374774884572944,0.009649104749970721,0.10486084114743476,0.2315785139992973,0.875,0.125,0.002797309027777778,0.006812403476562934,0.12630877592885292,0.07013218497514351,0.44239690492329387,0.3490419468570707,0.17391304347826086,6.0,0.8333333333333334,0.20833333333333334,2025-10-11 14:45:46.278,14,1
1760193946278 (1).mp4,1,4.011764705882353,15.545588235294117,3.436053240740741e-05,9.291171551903017e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2025-10-11 14:45:46.278,14,1
1760193964170 (1).mp4,0,0.0,12.082949308755762,0.04450593171296296,0.2036113118127634,0.0076986348903148845,0.11987419058405856,0.18476723736755724,0.9166666666666666,0.08333333333333333,0.002531105324074074,0.009950393572645023,0.11984690331753933,0.03670959599350243,0.4038072427149753,0.27318196987737325,0.08695652173913043,6.0,0.875,0.16666666666666666,2025-10-11 14:46:04.170,14,1
1760193964170 (1).mp4,1,4.202764976958526,16.285714285714285,0.0031716579861111108,0.006026219554104022,0.0076986348903148845,0.11987419058405856,0.18476723736755724,0.9166666666666666,0.08333333333333333,0.002531105324074074,0.009950393572645023,0.11984690331753933,0.03670959599350243,0.4038072427149753,0.27318196987737325,0.08695652173913043,6.0,0.875,0.16666666666666666,2025-10-11 14:46:04.170,14,1
1760193979860 (1).mp4,0,0.0,12.066153846153846,0.04350206163194444,0.20374537616723512,0.01507410568969104,0.17316540835292038,0.36177853655258496,0.75,0.25,0.0018024811921296298,0.0030224297365714285,0.061689827061724656,0.1667113980092353,0.02371390230587487,0.3457153353903117,0.17391304347826086,6.0,0.7083333333333334,0.2916666666666667,2025-10-11 14:46:19.860,14,1
1760193979860 (1).mp4,1,4.196923076923077,16.263076923076923,0.0005736400462962964,0.0012385005837429956,0.0,0.0,0.0,1.0,0.0,0.00017632378472222222,0.0008638066041715851,0.0,0.0,0.0,0.0,0.0,6.0,0.9583333333333334,0.041666666666666664,2025-10-11 14:46:19.860,14,1
1760194403716 (1).mp4,0,0.0,10.940194714881779,0.06153302228009259,0.20076309614016646,0.0756378846154254,0.2620461047298255,1.8153092307702094,0.5,0.5,0.024922417534722224,0.03341330729709682,0.4411409583508139,0.37540360921322147,0.29938138679892246,0.9840277126475903,0.5217391304347826,6.0,0.2916666666666667,1.625,2025-10-11 14:53:23.716,14,1
1760194403716 (1).mp4,1,3.8052851182197496,14.745479833101529,0.019092158564814814,0.017912318394605213,0.05734731848516694,0.2620461047298255,1.3763356436440066,0.5,0.5,0.029488389756944445,0.0362169860199212,0.22614750464448563,0.38111711880961846,0.21102823656079941,1.118583563055558,0.5217391304347826,6.0,0.3333333333333333,1.125,2025-10-11 14:53:23.716,14,1
1760194403716 (1).mp4,2,7.610570236439499,18.550764951321277,0.021015263310185186,0.021662908475663233,0.03813424300282255,0.2012793692352934,0.9152218320677412,0.5,0.5,0.03989529079861111,0.046189117433843234,0.23529569012835672,0.2688552736110002,0.2235259911419889,1.0070783219620971,0.4782608695652174,6.0,0.3333333333333333,0.875,2025-10-11 14:53:23.716,14,1
1760194403716 (1).mp4,3,11.415855354659248,22.356050069541027,0.019961299189814815,0.02186376634413606,0.03518428456009561,0.2012793692352934,0.8444228294422947,0.5,0.5,0.03909071180555555,0.04636762540479046,0.23529569012835672,0.2688552736110002,0.2596532447008257,0.8710674402159954,0.43478260869565216,6.0,0.3333333333333333,0.8333333333333334,2025-10-11 14:53:23.716,14,1
